,movielens_Id,genre,imdbId,tmdbId,Plot,Rated,Response,Language,Title,Country,Writer,Metascore,imdbRating,Director,Released,Actors,Year,Genre,Awards,Runtime,Type,Poster,imdbVotes,imdbID,tomatoMeter,tomatoRating,tomatoConsensus,tomatoUserRating,tomatoImage,DVD,Production,tomatoFresh,Website,tomatoRotten,tomatoUserReviews,tomatoUserMeter,BoxOffice,tomatoReviews,tomatoURL,sentiment_polarity
70,3756,Drama,200669,29946.0,A man marries an heiress for her money even though he is actually in love with her friend.,R,True,English,The Golden Bowl,"USA, France, UK","Henry James (novel), Ruth Prawer Jhabvala (screenplay)",62.0,5.9,James Ivory,25 May 2001,"Kate Beckinsale, James Fox, Anjelica Huston, Nick Nolte",2000,"Drama, Romance",1 win &amp; 1 nomination.,130 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQyNTI0OTY3M15BMl5BanBnXkFtZTcwMDI1MTQyMQ@@._V1_SX300.jpg,"3,780",tt0200669,54.0,5.4,"Coming from the Merchant-Ivory team, The Golden Bowl is visually stunning, but the filmmakers have difficulty in transporting the characterizations of the Henry James novel to the screen.",3.0,rotten,06 Nov 2001,Lions Gate Films,46,,39,3149,39.0,"$2,178,448.00",85,http://www.rottentomatoes.com/m/golden_bowl/,0.4
71,3784,Comedy|Fantasy,219854,4244.0,An unhappy and disliked image consultant gets a second shot at life when an eight year old version of himself mysteriously appears.,PG,True,English,The Kid,USA,Audrey Wells,45.0,6.1,Jon Turteltaub,07 Jul 2000,"Bruce Willis, Spencer Breslin, Emily Mortimer, Lily Tomlin",2000,"Comedy, Family, Fantasy",1 win &amp; 2 nominations.,104 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTIwMzk2NTE5NF5BMl5BanBnXkFtZTcwMTcyOTAwMQ@@._V1_SX300.jpg,"34,881",tt0219854,49.0,5.2,Critics find The Kid to be too sweet and the movie's message to be annoyingly simplistic.,3.0,rotten,23 Jan 2003,Disney,48,http://disney.go.com/disneypictures/thekid/homepage.html,50,60535,48.0,"$68,493,389.00",98,http://www.rottentomatoes.com/m/the-kid/,-0.075
74,3793,Action|Adventure|Sci-Fi,120903,36657.0,Two mutants come to a private academy for their kind whose resident superhero team must oppose a terrorist organization with similar powers.,PG-13,True,English,X-Men,USA,"Tom DeSanto (story), Bryan Singer (story), David Hayter (screenplay)",64.0,7.4,Bryan Singer,14 Jul 2000,"Hugh Jackman, Patrick Stewart, Ian McKellen, Famke Janssen",2000,"Action, Adventure, Sci-Fi",13 wins &amp; 26 nominations.,104 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMzU4ODZlYTMtZDg4Yi00OGUzLWEzYjUtZjE2ZmM0NTZkYTQ2XkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg,"461,714",tt0120903,81.0,7.1,"Faithful to the comics and filled with action, X-Men brings a crowded slate of classic Marvel characters to the screen with a talented ensemble cast and surprisingly sharp narrative focus.",3.7,certified,21 Nov 2000,20th Century Fox,135,http://www.x-men-the-movie.com,31,1065406,83.0,"$156,164,829.00",166,http://www.rottentomatoes.com/m/xmen/,0.248333333333
77,3798,Drama|Horror|Mystery,161081,2655.0,The wife of a university research scientist believes that her lakeside Vermont home is haunted by a ghost - or that she is losing her mind.,PG-13,True,English,What Lies Beneath,USA,"Clark Gregg (screenplay), Sarah Kernochan (story), Clark Gregg (story)",51.0,6.6,Robert Zemeckis,21 Jul 2000,"Michelle Pfeiffer, Katharine Towne, Miranda Otto, James Remar",2000,"Drama, Fantasy, Horror",5 wins &amp; 5 nominations.,130 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BNTY4NjNkMTMtNTEyOC00NDBiLWFkZjMtZDkwYzU3OTFjOTkzXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg,"99,615",tt0161081,46.0,5.5,Robert Zemeckis is unable to salvage an uncompelling and unoriginal film.,3.1,rotten,30 Jan 2001,DreamWorks SKG,58,,67,278676,59.0,"$155,018,556.00",125,http://www.rottentomatoes.com/m/what_lies_beneath/,-0.35
78,3820,Children,205461,16110.0,"Mr. Conductor's supply of magic gold dust, which allows him to travel between Shining Time and Thomas's island, is critically low. Unfortunately, he doesn't know how to get more. Meanwhile,...",G,True,English,Thomas and the Magic Railroad,"UK, USA, Canada","Britt Allcroft, Rev. W. Awdry (books)",19.0,3.6,Britt Allcroft,26 Jul 2000,"Alec Baldwin, Cody McMains, Russell Means, Peter Fonda",2000,"Adventure, Comedy, Drama",2 nominations.,85 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk3MTUyODI0MF5BMl5BanBnXkFtZTcwODU0OTIyMQ@@._V1_SX300.jpg,"2,905",tt0205461,19.0,3.9,"Kids these days demand cutting edge special effects or at least a clever plot with cute charectors. This movie has neither, having lost in its Americanization what the British original did so right.",2.8,rotten,31 Oct 2000,Destination Films,13,http://www.magicrailroad.com,54,3155,38.0,"$2,027,042.00",67,http://www.rottentomatoes.com/m/thomas_and_the_magic_railroad/,0.0980654761905
79,3821,Comedy,144528,12107.0,"Scientist Sherman Klump's inventions, his upcoming marriage to his pretty colleague Denise Gaines and his reputation are threatened by his evil clone Buddy Love.",PG-13,True,English,Nutty Professor II: The Klumps,USA,"Jerry Lewis (characters), Steve Oedekerk (story), Barry W. Blaustein (story), David Sheffield (story), Barry W. Blaustein (screenplay), David Sheffield (screenplay), Paul Weitz (screenplay), Chris Weitz (screenplay)",38.0,4.3,Peter Segal,28 Jul 2000,"Eddie Murphy, Janet Jackson, Larry Miller, John Ales",2000,"Comedy, Romance, Sci-Fi",2 wins &amp; 12 nominations.,106 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI5MDE3NzA2OF5BMl5BanBnXkFtZTcwMzQzMzAyMQ@@._V1_SX300.jpg,"39,829",tt0144528,26.0,4.4,"While Eddie Murphy is still hilarious as the entire Klump family, the movie falls apart because of uneven pacing, a poor script, and skits that rely on being gross rather than funny.",2.6,rotten,05 Dec 2000,Universal Pictures,22,http://www.klumps.com,63,231544,33.0,"$122,385,345.00",85,http://www.rottentomatoes.com/m/nutty_professor_ii_the_klumps/,0.025
82,3826,Horror|Sci-Fi|Thriller,164052,9383.0,"Scientists discover how to make people invisible, but their test subject becomes an insane killer who stalks them.",R,True,English,Hollow Man,"USA, Germany","Gary Scott Thompson (story), Andrew W. Marlowe (story), Andrew W. Marlowe (screenplay)",24.0,5.7,Paul Verhoeven,04 Aug 2000,"Elisabeth Shue, Kevin Bacon, Josh Brolin, Kim Dickens",2000,"Action, Horror, Sci-Fi",Nominated for 1 Oscar. Another 7 wins &amp; 9 nominations.,112 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BZTM1MjM2Y2QtOTMyOS00ZTE4LWFiZTEtMjBjMjg3NmE0ZjMxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"103,695",tt0164052,27.0,4.4,"Despite awesome special effects, Hollow Man falls short of other films directed by Paul Verhoeven. This flick over time degenerates into a typical horror film.",2.6,rotten,08 May 2001,Columbia Pictures,31,http://www.spe.sony.com/movies/hollowman,83,366482,27.0,"$72,055,301.00",114,http://www.rottentomatoes.com/m/hollow_man/,0.160912698413
85,3831,Comedy,195234,2360.0,"A small-town English widow, facing financial troubles after her husband's suicide, turns to agriculture of an illegal kind.",R,True,"English, French",Saving Grace,UK,"Mark Crowdy (story), Craig Ferguson (screenplay), Mark Crowdy (screenplay)",62.0,6.9,Nigel Cole,01 Sep 2000,"Brenda Blethyn, Craig Ferguson, Martin Clunes, Tchéky Karyo",2000,"Comedy, Crime",Nominated for 1 Golden Globe. Another 4 wins &amp; 8 nominations.,93 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BY2YyNGQyMmEtOGIwOS00N2QyLWFlNzEtNjRjYzFmMjJmY2M5XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,"15,564",tt0195234,63.0,6.0,"The plot and basis for jokes are slight, but Saving Grace is indeed saved by some charming performances, most notably Brenda Blethyn's.",3.8,fresh,19 Dec 2000,Fine Line Features,56,http://www.saving-grace-movie.com,33,11476,83.0,"$11,483,975.00",89,http://www.rottentomatoes.com/m/1099492-saving_grace/,0.383333333333
86,3857,Thriller,163983,10391.0,"Omens and concepts of good vs. evil have no place in Maggie O'Connor's well-ordered, practical universe. Her life revolves around her job as a nurse at a busy New York hospital, until one ...",R,True,English,Bless the Child,"USA, Germany","Cathy Cash Spellman (novel), Thomas Rickman (screenplay), Clifford Green (screenplay), Ellen Green (screenplay)",17.0,5.1,Chuck Russell,11 Aug 2000,"Kim Basinger, Jimmy Smits, Holliston Coleman, Rufus Sewell",2000,"Crime, Drama, Horror",1 win &amp; 5 nominations.,107 min,movie,http://ia.media-imdb.com/images/M/MV5BMjA2NDIxNzkzNl5BMl5BanBnXkFtZTcwMjEwMDMyMQ@@._V1_SX300.jpg,"12,084",tt0163983,3.0,3.0,Bless the Child squanders its talented cast on a plot that's more likely to inspire unintentional laughs than shivers.,2.8,rotten,13 Feb 2001,Paramount Pictures,3,http://www.blessthechild.com,110,35230,42.0,"$28,134,407.00",113,http://www.rottentomatoes.com/m/bless_the_child/,0.4
88,3861,Comedy,191397,10393.0,,PG-13,True,"English, American Sign Language",The Replacements,USA,Vince McKewin,30.0,6.5,Howard Deutch,11 Aug 2000,"Keanu Reeves, Gene Hackman, Brooke Langton, Orlando Jones",2000,"Comedy, Sport",,118 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQyMDQwMDgwNl5BMl5BanBnXkFtZTgwOTU5ODA5MjE@._V1_SX300.jpg,"48,849",tt0191397,41.0,5.0,The cliched characters and obvious outcome make all the fun and excitement amount to nothing.,3.1,rotten,28 Nov 2000,Warner Bros. Pictures,44,http://www.the-replacements.com,64,159540,66.0,"$44,004,460.00",108,http://www.rottentomatoes.com/m/replacements/,0.15
91,3865,Comedy|Documentary,236388,23618.0,A concert film featuring four major African American stand up comedians.,R,True,English,The Original Kings of Comedy,USA,"Cedric the Entertainer, Steve Harvey, D.L. Hughley, Bernie Mac",76.0,6.6,Spike Lee,18 Aug 2000,"Steve Harvey, D.L. Hughley, Cedric the Entertainer, Bernie Mac",2000,"Comedy, Documentary",3 nominations.,115 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI5NDY1NDU1M15BMl5BanBnXkFtZTcwODcyNTMyMQ@@._V1_SX300.jpg,"4,724",tt0236388,86.0,6.9,"If you want lots of laughs and don't mind some profanity, The Original Kings of Comedy can deliver.",3.7,certified,27 Feb 2001,Paramount Pictures,76,http://www.kingsofcomedymovie.com,12,17828,79.0,"$37,680,981.00",88,http://www.rottentomatoes.com/m/original_kings_of_comedy/,0.375
92,3879,Action|Thriller,160009,11398.0,"Shaw is an operative for the United Nations' covert dirty-tricks squad, using espionage and quasi-ethical tactics to secure peace and cooperation. When a shipping container full of dead ...",R,True,English,The Art of War,"USA, Canada","Wayne Beach (story), Wayne Beach (screenplay), Simon Barry (screenplay)",30.0,5.7,Christian Duguay,25 Aug 2000,"Wesley Snipes, Anne Archer, Maury Chaykin, Marie Matiko",2000,"Action, Adventure, Crime",2 wins &amp; 9 nominations.,117 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BNzAyMjE2MDI3M15BMl5BanBnXkFtZTYwNTIwMzg2._V1_SX300.jpg,"25,519",tt0160009,16.0,3.9,"Excessively noisy and overly reliant on genre clichés, The Art of War wastes its star's charisma on a ridiculous, convoluted plot and poorly edited action sequences.",2.9,rotten,26 Dec 2000,Warner Bros. Pictures,13,http://www.artofwarmovie.com,67,26570,36.0,"$29,458,928.00",80,http://www.rottentomatoes.com/m/1099604-art_of_war/,-0.216666666667
93,3882,Comedy,204946,1588.0,A champion high school cheerleading squad discovers its previous captain stole all their best routines from an inner-city school and must scramble to compete at this year's championships.,PG-13,True,English,Bring It On,USA,Jessica Bendinger,52.0,5.9,Peyton Reed,25 Aug 2000,"Kirsten Dunst, Eliza Dushku, Jesse Bradford, Gabrielle Union",2000,"Comedy, Sport",2 wins &amp; 7 nominations.,98 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BNjhiMjk1YWYtMjgyYy00YTFhLTk0NTMtN2Q5MDZjMWEyYWI1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"71,260",tt0204946,63.0,5.9,"Despite the formulaic, fluffy storyline, this movie is surprisingly fun to watch, mostly due to its high energy and how it humorously spoofs cheerleading instead of taking itself too seriously.",3.1,fresh,13 Feb 2001,Universal Pictures,74,http://www.bringitonmovie.com,43,767323,66.0,"$67,905,760.00",117,http://www.rottentomatoes.com/m/bring_it_on/,0.0430952380952
94,3884,Comedy,198386,19150.0,Four retired mobsters plan one last crime to save their retirement home.,PG-13,True,"English, Spanish",The Crew,USA,Barry Fanaro,37.0,5.6,Michael Dinner,25 Aug 2000,"Richard Dreyfuss, Burt Reynolds, Dan Hedaya, Seymour Cassel",2000,"Crime, Comedy",1 win.,88 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk2NDA2NTY2MV5BMl5BanBnXkFtZTcwNjg2MjIyMQ@@._V1_SX300.jpg,"3,955",tt0198386,20.0,3.7,"Though the four actors are good together, the jokes are stale and not funny.",2.7,rotten,13 Mar 2001,Touchstone Pictures,17,http://studio.go.com/movies/thecrew/index.html,68,4108,36.0,"$12,485,210.00",85,http://www.rottentomatoes.com/m/1099659-crew/,0.025
97,3891,Crime|Drama,216772,9995.0,"Trying to bootstrap his way out of Brooklyn's mean streets is Diamond, a rap musician. With his long-time pal Gage acting as his manager, he's trying to lay down a demo tape with cut-rate ...",R,True,English,Turn It Up,USA,"Ray 'Cory' Daniels (story), Chris Hudson (story), Kelly Hilaire (story), Robert Adetuyi (screenplay)",18.0,4.4,Robert Adetuyi,06 Sep 2000,"Pras Michel, Ja Rule, Jason Statham, Vondie Curtis-Hall",2000,"Crime, Drama, Action",1 nomination.,86 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYyMzI3NTMzNl5BMl5BanBnXkFtZTcwMTg0MjkxMQ@@._V1_SX300.jpg,963,tt0216772,8.0,3.4,"Reviewers say Turn It Up has a derivative feel, running through too many urban movie cliches.",2.9,rotten,20 Mar 2001,New Line Cinema,3,http://www.turnitupmovie.com,35,1871,30.0,"$738,654.00",38,http://www.rottentomatoes.com/m/turn_it_up/,0.25
99,3895,Crime|Thriller,204626,10685.0,"David Allen Griffin is a cool killer- time and time again, he chooses a female victim, studies her for weeks till he knows her routine to the smallest detail, makes meticulous preparations ...",R,True,"English, Vietnamese",The Watcher,USA,"Darcy Meyers (story), David Elliot (story), David Elliot (screenplay), Clay Ayers (screenplay)",22.0,5.3,Joe Charbanic,08 Sep 2000,"James Spader, Marisa Tomei, Keanu Reeves, Ernie Hudson",2000,"Crime, Horror, Mystery",1 nomination.,97 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTM3NTM5NDYwMl5BMl5BanBnXkFtZTYwNzA0MTk5._V1_SX300.jpg,"22,408",tt0204626,10.0,3.4,"The Watcher has Keanu Reeves cast against type, but the movie is short on thrills, suspense, and believability.",2.7,rotten,02 Sep 2003,Universal Pictures,9,,80,21532,29.0,"$28,572,915.00",89,http://www.rottentomatoes.com/m/watcher/,0.0
100,3896,Crime|Thriller,202677,1619.0,Two criminal drifters without sympathy get more than they bargained for after kidnapping and holding for ransom the surrogate mother of a powerful and shady man.,R,True,"English, Spanish",The Way of the Gun,USA,Christopher McQuarrie,49.0,6.7,Christopher McQuarrie,08 Sep 2000,"Ryan Phillippe, Benicio Del Toro, Juliette Lewis, Taye Diggs",2000,"Action, Crime, Drama",,119 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc0MjAwNTExNV5BMl5BanBnXkFtZTcwNzI4NjEyMQ@@._V1_SX300.jpg,"27,802",tt0202677,48.0,5.4,"The Way of the Gun has some good parts, but overall, the movie is derivative, sloppy, and sluggish.",3.3,rotten,19 Jun 2001,Artisan Entertainment,50,http://www.wayofthegun.com,55,31268,70.0,"$5,225,573.00",105,http://www.rottentomatoes.com/m/way_of_the_gun/,0.0944444444444
101,3897,Drama,181875,786.0,A high-school boy is given the chance to write a story for Rolling Stone Magazine about an up-and-coming rock band as he accompanies it on their concert tour.,R,True,"English, French",Almost Famous,USA,Cameron Crowe,90.0,7.9,Cameron Crowe,22 Sep 2000,"Billy Crudup, Frances McDormand, Kate Hudson, Jason Lee",2000,"Adventure, Comedy, Drama",Won 1 Oscar. Another 52 wins &amp; 102 nominations.,122 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMzY1ZjMwMGEtYTY1ZS00ZDllLTk0ZmUtYzA3ZTA4NmYwNGNkXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,"210,804",tt0181875,89.0,7.9,"Almost Famous, with its great ensemble performances and story, is a well-crafted, warm-hearted movie that successfully draws you into its era.",3.7,certified,13 Mar 2001,DreamWorks SKG,147,http://www.almost-famous.com,19,323962,92.0,"$31,716,715.00",166,http://www.rottentomatoes.com/m/almost_famous/,0.683333333333
